question,votes,tags
How can I remove a specific item from an array?,9865,"['javascript', 'arrays']"
How do I check if an element is hidden in jQuery?,8196,"['javascript', 'jquery', 'dom', 'visibility']"
"What does ""use strict"" do in JavaScript, and what is the reasoning behind it?",7983,"['javascript', 'syntax', 'jslint', 'use-strict']"
How do I redirect to another webpage?,7710,"['javascript', 'jquery', 'redirect']"
How do JavaScript closures work?,7626,"['javascript', 'function', 'variables', 'scope', 'closures']"
How to check whether a string contains a substring in JavaScript?,7418,"['javascript', 'string', 'substring', 'string-matching']"
var functionName = function() {} vs function functionName() {},7273,"['javascript', 'function', 'syntax', 'idioms']"
How do I remove a property from a JavaScript object?,6775,['javascript']
How to return the response from an asynchronous call,6137,"['javascript', 'jquery', 'ajax', 'asynchronous', 'return']"
How do I include a JavaScript file in another JavaScript file?,5757,"['javascript', 'file', 'import', 'include']"
Which equals operator (== vs ===) should be used in JavaScript comparisons?,5656,"['javascript', 'operators', 'equality', 'equality-operator', 'identity-operator']"
"What's the difference between using ""let"" and ""var""?",5380,"['javascript', 'scope', 'ecmascript-6', 'var', 'let']"
What is the most efficient way to deep clone an object in JavaScript?,5174,"['javascript', 'object', 'clone']"
For-each over an array in JavaScript,5149,"['javascript', 'arrays', 'loops', 'foreach', 'iteration']"
How to validate an email address in JavaScript,5030,"['javascript', 'regex', 'validation', 'email', 'email-validation']"
How to replace all occurrences of a string in JavaScript,4951,"['javascript', 'string', 'replace']"
How do I check whether a checkbox is checked in jQuery?,4906,"['javascript', 'jquery', 'html', 'checkbox']"
How to create a GUID / UUID,4695,"['javascript', 'guid', 'uuid']"
"""Thinking in AngularJS"" if I have a jQuery background? [closed]",4510,"['javascript', 'jquery', 'angularjs']"
How do I check if an array includes a value in JavaScript?,4468,"['javascript', 'arrays', 'algorithm', 'time-complexity', 'javascript-objects']"
How do you get a timestamp in JavaScript?,4371,['javascript']
"Setting ""checked"" for a checkbox with jQuery",4357,"['javascript', 'jquery', 'checkbox', 'selected', 'checked']"
How do I make the first letter of a string uppercase in JavaScript?,4344,"['javascript', 'string', 'letter', 'capitalize']"
Why does Google prepend while(1); to their JSON responses?,4283,"['javascript', 'json', 'ajax', 'security']"
"Which ""href"" value should I use for JavaScript links, ""#"" or ""javascript:void(0)""?",4266,"['javascript', 'html', 'performance', 'optimization', 'href']"
How do I test for an empty JavaScript object?,3900,"['javascript', 'javascript-objects']"
How do I copy to the clipboard in JavaScript?,3889,"['javascript', 'clipboard', 'copy-paste']"
What is the !! (not not) operator in JavaScript?,3633,"['javascript', 'operators']"
Loop through an array in JavaScript,3560,"['javascript', 'arrays', 'loops', 'for-loop']"
How to insert an item into an array at a specific index (JavaScript),3525,"['javascript', 'jquery', 'arrays']"
Checking if a key exists in a JavaScript object?,3501,"['javascript', 'arrays', 'object']"
How do I correctly clone a JavaScript object?,3393,"['javascript', 'clone', 'javascript-objects']"
Sort array of objects by string property value,3384,"['javascript', 'arrays', 'sorting', 'comparison']"
How can I check for an empty/undefined/null string in JavaScript?,3368,"['javascript', 'null', 'is-empty']"
"How to round to at most 2 decimal places, if necessary?",3352,"['javascript', 'rounding', 'decimal-point']"
Get the current URL with JavaScript?,3330,"['javascript', 'url']"
What is the difference between call and apply?,3268,"['javascript', 'performance', 'function', 'dynamic']"
How do I loop through or enumerate a JavaScript object?,3254,"['javascript', 'loops', 'for-loop', 'each']"
How can I check if an object is an array?,3121,"['javascript', 'arrays', 'javascript-objects']"
event.preventDefault() vs. return false,3120,"['javascript', 'jquery', 'event-handling', 'dom-events', 'event-propagation']"
How can I change an element's class with JavaScript?,3066,"['javascript', 'html', 'dom']"
Detecting an undefined object property,3049,"['javascript', 'object', 'undefined', 'object-property']"
How can I upload files asynchronously with jQuery?,3045,"['javascript', 'jquery', 'ajax', 'asynchronous', 'xmlhttprequest']"
JavaScript closure inside loops – simple practical example,3043,"['javascript', 'loops', 'closures']"
Creating multiline strings in JavaScript,3017,"['javascript', 'string', 'multiline', 'heredoc']"
How can I convert a string to boolean in JavaScript?,3015,['javascript']
Is it possible to apply CSS to half of a character?,2978,"['javascript', 'html', 'css']"
"Is there an ""exists"" function for jQuery?",2958,"['javascript', 'jquery']"
What is the JavaScript version of sleep()?,2930,"['javascript', 'sleep']"
How can I know which radio button is selected via jQuery?,2897,"['javascript', 'jquery', 'html', 'jquery-selectors', 'radio-button']"
How to append something to an array?,2892,"['javascript', 'arrays', 'append']"
pretty-print JSON using JavaScript,2878,"['javascript', 'json', 'pretty-print']"
"Why does my JavaScript code receive a ""No 'Access-Control-Allow-Origin' header is present on the requested resource"" error, while Postman does not?",2876,"['javascript', 'jquery', 'cors', 'same-origin-policy', 'flask-restless']"
How can I merge properties of two JavaScript objects dynamically?,2864,"['javascript', 'javascript-objects']"
How to format a JavaScript date,2822,"['javascript', 'date', 'date-formatting']"
Storing Objects in HTML5 localStorage,2806,"['javascript', 'html', 'local-storage']"
"How can I check for ""undefined"" in JavaScript? [duplicate]",2721,"['javascript', 'undefined']"
How do I detect a click outside an element?,2709,"['javascript', 'jquery', 'click']"
How do I modify the URL without reloading the page?,2701,"['javascript', 'html', 'url', 'url-rewriting', 'friendly-url']"
Length of a JavaScript object,2697,"['javascript', 'javascript-objects']"
How can I get query string values in JavaScript?,2695,"['javascript', 'url', 'plugins', 'query-string']"
How do I pass command line arguments to a Node.js program?,2680,"['javascript', 'node.js', 'arguments', 'command-line-arguments']"
How do I get the current date in JavaScript?,2661,"['javascript', 'date', 'date-formatting']"
"Is there a standard function to check for null, undefined, or blank variables in JavaScript?",2655,"['javascript', 'null', 'comparison', 'undefined']"
Encode URL in JavaScript?,2646,"['javascript', 'url', 'encode', 'urlencode']"
How can I refresh a page with jQuery?,2601,"['javascript', 'jquery', 'refresh', 'reload']"
Can (a== 1 && a ==2 && a==3) ever evaluate to true?,2580,"['javascript', 'ecmascript-6']"
Add table row in jQuery,2559,"['javascript', 'jquery', 'html-table']"
Scroll to an element with jQuery,2519,"['javascript', 'jquery', 'scroll']"
Set a default parameter value for a JavaScript function,2518,"['javascript', 'function', 'parameters', 'arguments', 'default-parameters']"
Validate decimal numbers in JavaScript - IsNumeric(),2474,"['javascript', 'validation', 'numbers']"
Open a URL in a new tab (and not a new window),2453,['javascript']
Disable/enable an input with jQuery?,2415,"['javascript', 'jquery', 'html-input', 'disabled-input']"
.prop() vs .attr(),2408,"['javascript', 'jquery', 'dom', 'attr', 'prop']"
Get selected text from a drop-down list (select box) using jQuery,2405,"['javascript', 'jquery', 'dom', 'drop-down-menu', 'jquery-selectors']"
How can I determine if a variable is 'undefined' or 'null'?,2383,"['javascript', 'jquery', 'variables', 'null', 'undefined']"
Compare two dates with JavaScript,2328,"['javascript', 'date', 'datetime', 'compare']"
How to get the children of the $(this) selector?,2325,"['javascript', 'jquery', 'jquery-selectors']"
"What is JSONP, and why was it created?",2299,"['javascript', 'json', 'jsonp', 'terminology']"
How can I guarantee that my enums definition doesn't change in JavaScript?,2297,['javascript']
Generate random string/characters in JavaScript,2278,"['javascript', 'string', 'random']"
JavaScript chop/slice/trim off last character in string,2252,"['javascript', 'slice', 'trim']"
"Get the size of the screen, current web page and browser window",2241,"['javascript', 'html', 'jquery', 'layout', 'cross-browser']"
Generating random whole numbers in JavaScript in a specific range?,2234,"['javascript', 'random', 'integer']"
How to print a number with commas as thousands separators in JavaScript,2226,"['javascript', 'formatting', 'numbers', 'integer']"
$(document).ready equivalent without jQuery,2224,"['javascript', 'jquery', 'pageload']"
Iterate through object properties,2220,"['javascript', 'loops', 'object']"
Check if a variable is a string in JavaScript,2214,"['javascript', 'string']"
How do I empty an array in JavaScript?,2196,"['javascript', 'arrays']"
JavaScript equivalent to printf/String.Format,2195,"['javascript', 'printf', 'string.format']"
How to decide when to use Node.js?,2194,"['javascript', 'node.js', 'web-applications']"
How to format numbers as currency strings,2159,"['javascript', 'formatting', 'currency']"
When should I use double or single quotes in JavaScript?,2135,"['javascript', 'string', 'conventions']"
Generate random number between two numbers in JavaScript,2131,"['javascript', 'random']"
What is the scope of variables in JavaScript?,2123,"['javascript', 'function', 'variables', 'scope', 'var']"
How does JavaScript .prototype work?,2113,"['javascript', 'dynamic-languages', 'prototype-oriented']"
JavaScript check if variable exists (is defined/initialized),2082,"['javascript', 'variables', 'initialization', 'undefined']"
Get all unique values in a JavaScript array (remove duplicates),2077,"['javascript', 'unique', 'arrays']"
Get selected value in dropdown list using JavaScript,2066,"['javascript', 'html-select']"
Using async/await with a forEach loop,2014,"['javascript', 'node.js', 'promise', 'async-await', 'ecmascript-2017']"
How does data binding work in AngularJS?,2004,"['javascript', 'angularjs', 'data-binding']"
How to convert a string to an integer in JavaScript?,1974,"['javascript', 'string', 'integer', 'data-conversion']"
Get current URL with jQuery?,1962,"['javascript', 'jquery', 'url']"
"Why is using ""for...in"" for array iteration a bad idea?",1961,"['javascript', 'arrays', 'loops', 'for-loop', 'iteration']"
Copy array by value,1930,"['javascript', 'arrays']"
Abort Ajax requests using jQuery,1918,"['javascript', 'jquery', 'ajax']"
Short circuit Array.forEach like calling break,1912,"['javascript', 'arrays', 'foreach']"
How can I add new array elements at the beginning of an array in Javascript?,1898,"['javascript', 'arrays']"
"Retrieve the position (X,Y) of an HTML element",1897,"['javascript', 'html', 'css', 'dom', 'position']"
How do you check if a variable is an array in JavaScript? [duplicate],1895,"['javascript', 'arrays', 'variables']"
Preview an image before it is uploaded,1870,"['javascript', 'jquery', 'file-upload']"
Writing files in Node.js,1865,"['javascript', 'node.js', 'file', 'express', 'fs']"
Disable same origin policy in Chrome,1859,"['javascript', 'ajax', 'google-chrome']"
What is the 'new' keyword in JavaScript?,1855,"['javascript', 'new-operator']"
What is the difference between Bower and npm?,1837,"['javascript', 'npm', 'bower']"
Find object by id in an array of JavaScript objects,1836,"['javascript', 'arrays', 'javascript-objects']"
How can I display a JavaScript object?,1832,"['javascript', 'serialization', 'javascript-objects']"
What is TypeScript and why would I use it in place of JavaScript? [closed],1824,"['javascript', 'typescript']"
How to move an element into another element?,1818,"['javascript', 'jquery', 'html']"
What is the best way to detect a mobile device?,1814,"['javascript', 'jquery', 'mobile', 'browser-detection']"
Remove duplicate values from JS array [duplicate],1790,"['javascript', 'arrays', 'duplicates', 'unique']"
"Why does ++[[]][+[]]+[+[]] return the string ""10""?",1777,"['javascript', 'syntax']"
Scroll to the top of the page using JavaScript?,1775,"['javascript', 'scroll']"
"Detecting an ""invalid date"" Date instance in JavaScript",1768,"['javascript', 'date']"
Check if a value is an object in JavaScript,1761,"['javascript', 'types', 'javascript-objects']"
"How to check if a string ""StartsWith"" another string?",1760,"['javascript', 'string', 'startswith']"
How to efficiently count the number of keys/properties of an object in JavaScript,1760,"['javascript', 'performance', 'properties', 'count', 'key']"
How does Facebook disable the browser's integrated Developer Tools?,1746,"['javascript', 'facebook', 'google-chrome-devtools']"
