question,votes,tags
"What does the ""yield"" keyword do?",11501,"['python', 'iterator', 'generator', 'yield', 'coroutine']"
"What does if __name__ == ""__main__"": do?",7073,"['python', 'namespaces', 'main', 'python-module', 'idioms']"
Does Python have a ternary conditional operator?,6942,"['python', 'operators', 'ternary-operator', 'conditional-operator']"
What are metaclasses in Python?,6378,"['python', 'oop', 'metaclass', 'python-class', 'python-datamodel']"
How do I check whether a file exists without exceptions?,6360,"['python', 'file', 'file-exists']"
How do I merge two dictionaries in a single expression (taking union of dictionaries)?,5915,"['python', 'dictionary', 'merge']"
How to execute a program or call a system command?,5464,"['python', 'shell', 'terminal', 'subprocess', 'command']"
How can I safely create a nested directory in Python?,4930,"['python', 'exception', 'path', 'directory', 'operating-system']"
Accessing the index in 'for' loops?,4336,"['python', 'loops', 'list']"
How to make a flat list out of a list of lists,4275,"['python', 'list', 'multidimensional-array', 'flatten']"
Difference between staticmethod and classmethod,4072,"['python', 'oop', 'methods', 'python-decorators']"
Understanding slice notation,3983,"['python', 'list', 'slice', 'iterable']"
Finding the index of an item in a list,3798,"['python', 'list', 'indexing']"
Iterating over dictionaries using 'for' loops,3659,"['python', 'dictionary']"
Does Python have a string 'contains' substring method?,3596,"['python', 'string', 'substring', 'contains']"
Using global variables in a function,3471,"['python', 'global-variables', 'scope']"
How do I list all files of a directory?,3466,"['python', 'directory']"
How do I sort a dictionary by value?,3417,"['python', 'sorting', 'dictionary']"
How to get the current time in Python,3367,"['python', 'datetime', 'time']"
Catch multiple exceptions in one line (except block),3289,"['python', 'exception', 'exception-handling']"
How do I check if a list is empty?,3231,"['python', 'list']"
What is the difference between __str__ and __repr__?,3155,"['python', 'magic-methods', 'repr']"
How can I add new keys to a dictionary?,3142,"['python', 'dictionary', 'lookup']"
What is the difference between Python's list methods append and extend?,3113,"['python', 'list', 'data-structures', 'append', 'extend']"
How do I concatenate two lists in Python?,3085,"['python', 'list', 'concatenation']"
How do I copy a file in Python?,3070,"['python', 'file', 'copy', 'filesystems', 'file-copying']"
Convert bytes to a string,3061,"['python', 'string', 'python-3.x']"
How to iterate over rows in a DataFrame in Pandas,2995,"['python', 'pandas', 'dataframe']"
How can I make a time delay in Python? [duplicate],2986,"['python', 'python-3.x', 'delay', 'sleep', 'timedelay']"
"""Least Astonishment"" and the Mutable Default Argument",2973,"['python', 'language-design', 'default-parameters', 'least-astonishment']"
How do I pass a variable by reference?,2965,"['python', 'reference', 'parameter-passing', 'pass-by-reference']"
How to make function decorators and chain them together?,2953,"['python', 'decorator', 'python-decorators']"
List changes unexpectedly after assignment. Why is this and how can I prevent it?,2934,"['python', 'list', 'reference', 'copy', 'clone']"
What is __init__.py for?,2916,"['python', 'module', 'package', 'python-packaging']"
Understanding Python super() with __init__() methods [duplicate],2861,"['python', 'class', 'oop', 'inheritance', 'super']"
