Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,"Hi, Mom","$822,009,764",-,-,"$822,009,764",100%
2,F9: The Fast Saga,"$710,861,655","$172,875,655",24.3%,"$537,986,000",75.7%
3,Detective Chinatown 3,"$686,257,563",-,-,"$686,257,563",100%
4,Godzilla vs. Kong,"$467,863,133","$100,563,133",21.5%,"$367,300,000",78.5%
5,Black Widow,"$372,290,466","$182,690,466",49.1%,"$189,600,000",50.9%
6,A Quiet Place Part II,"$297,372,261","$160,072,261",53.8%,"$137,300,000",46.2%
7,Free Guy,"$241,811,214","$94,411,214",39%,"$147,400,000",61%
8,Cruella,"$222,182,511","$86,082,511",38.7%,"$136,100,000",61.3%
9,The Conjuring: The Devil Made Me Do It,"$201,965,074","$65,565,074",32.5%,"$136,400,000",67.5%
10,Chinese Doctors,"$197,143,218",-,-,"$197,143,218",100%
11,Jungle Cruise,"$193,696,002","$106,796,002",55.1%,"$86,900,000",44.9%
12,Impasse,"$181,325,565","$152,972",<0.1%,"$181,172,593",99.9%
13,Raging Fire,"$177,968,723","$325,806",0.2%,"$177,642,917",99.8%
14,The Suicide Squad,"$162,453,214","$54,653,214",33.6%,"$107,800,000",66.4%
15,Space Jam: A New Legacy,"$155,117,406","$70,117,406",45.2%,"$85,000,000",54.8%
16,Peter Rabbit 2: The Runaway,"$153,736,536","$40,336,536",26.2%,"$113,400,000",73.8%
17,Shang-Chi and the Legend of the Ten Rings,"$150,872,848","$94,672,848",62.8%,"$56,200,000",37.2%
18,A Writer's Odyssey,"$150,123,320","$160,013",0.1%,"$149,963,307",99.9%
19,Tom and Jerry,"$132,841,123","$46,041,123",34.7%,"$86,800,000",65.3%
20,Sister,"$128,292,175",-,-,"$128,292,175",100%
21,Raya and the Last Dragon,"$122,715,755","$54,723,032",44.6%,"$67,992,723",55.4%
22,My Love,"$113,981,474","$86,252",<0.1%,"$113,895,222",99.9%
23,The Boss Baby: Family Business,"$105,772,495","$57,018,495",53.9%,"$48,754,000",46.1%
24,Wrath of Man,"$103,966,489","$27,466,489",26.4%,"$76,500,000",73.6%
25,Detective Conan: The Scarlet Bullet,"$95,659,979",-,-,"$95,659,979",100%
26,Evangelion: 3.0+1.01 Thrice Upon a Time,"$92,246,218",-,-,"$92,246,218",100%
27,End Game,"$91,815,762","$23,149",<0.1%,"$91,792,613",100%
28,Old,"$87,310,515","$47,391,515",54.3%,"$39,919,000",45.7%
29,Mortal Kombat,"$83,601,013","$42,201,013",50.5%,"$41,400,000",49.5%
30,PAW Patrol: The Movie,"$81,970,418","$31,670,418",38.6%,"$50,300,000",61.4%
31,Boonie Bears: The Wild Life,"$77,858,442",-,-,"$77,858,442",100%
32,The Forever Purge,"$76,494,970","$44,461,970",58.1%,"$32,033,000",41.9%
33,1921,"$75,159,828",-,-,"$75,159,828",100%
34,Hitman's Wife's Bodyguard,"$70,121,647","$38,014,727",54.2%,"$32,106,920",45.8%
35,Avatar 2021 Re-release,"$57,566,409",-,-,"$57,566,409",100%
36,Nezha Reborn,"$56,088,478",-,-,"$56,088,478",100%
37,Nobody,"$55,405,035","$27,268,035",49.2%,"$28,137,000",50.8%
38,Upcoming,"$54,300,000",-,-,"$54,300,000",100%
39,Man in Love,"$52,946,097",-,-,"$52,946,097",100%
40,Break Through the Darkness,"$52,700,000",-,-,"$52,700,000",100%
41,Candyman,"$52,207,820","$41,020,820",78.6%,"$11,187,000",21.4%
42,Belle: The Dragon and the Freckled Princess,"$50,699,811",-,-,"$50,699,811",100%
43,Love Will Tear Us Apart,"$44,972,521",-,-,"$44,972,521",100%
44,Escape Room: Tournament of Champions,"$44,888,958","$25,188,958",56.1%,"$19,700,000",43.9%
45,In the Heights,"$43,879,041","$29,879,041",68.1%,"$14,000,000",31.9%
46,Spirit Untamed,"$42,636,215","$17,635,215",41.4%,"$25,001,000",58.6%
47,Don't Breathe 2,"$41,354,361","$28,554,361",69%,"$12,800,000",31%
48,Spiral,"$38,659,769","$23,216,862",60.1%,"$15,442,907",39.9%
49,The Yinyang Master,"$37,690,000",-,-,"$37,690,000",100%
50,Rurouni Kenshin: Final Chapter Part I - The Final,"$36,964,978",-,-,"$36,964,978",100%
51,Snake Eyes,"$36,964,325","$28,264,325",76.5%,"$8,700,000",23.5%
52,Luca,"$36,859,988",-,-,"$36,859,988",100%
53,Tokyo Revengers,"$36,446,766",-,-,"$36,446,766",100%
54,I Fell in Love Like a Flower Bouquet,"$34,975,905",-,-,"$34,975,905",100%
55,Big Red Envelope,"$32,800,000",-,-,"$32,800,000",100%
56,Once Upon a Time in Hong Kong,"$32,218,874",-,-,"$32,218,874",100%
57,Home Sweet Home,"$32,178,677",-,-,"$32,178,677",100%
58,The Unholy,"$30,830,440","$15,530,440",50.4%,"$15,300,000",49.6%
59,The Little Things,"$29,844,012","$15,244,012",51.1%,"$14,600,000",48.9%
60,Master,"$28,692,230",-,-,"$28,692,230",100%
61,The Last Warrior: Root of Evil,"$28,357,398",-,-,"$28,357,398",100%
62,Nomadland,"$27,333,434","$2,143,000",7.8%,"$25,190,434",92.2%
